cycle,IF,ID,EX,MEM,WB,ForwardA,ForwardB,ForwardC,ForwardD,Stall,Flush,PC_IF,ALU_EX,WB_reg,WB_value
1,0,-,-,-,-,00,00,0,0,0,0,0x0000,0,0,0
2,1,0,-,-,-,00,00,0,0,0,0,0x0004,0,0,0
3,2,1,0,-,-,00,00,0,0,0,0,0x0008,20,0,0
4,3,2,1,0,-,00,00,0,0,0,0,0x000c,0,0,0
5,4,3,2,1,0,00,00,0,0,0,0,0x0010,0,17,20
6,5,4,3,2,1,00,00,0,0,0,0,0x0014,20,0,0
7,6,5,4,3,2,00,00,0,0,0,0,0x0018,24,0,0
8,7,6,5,4,3,00,00,0,0,0,0,0x001c,0,15,196
9,8,7,6,5,4,00,00,0,0,0,0,0x0020,0,22,233
10,9,8,7,6,5,00,00,0,0,0,0,0x0024,429,0,0
11,10,9,8,7,6,00,00,0,0,0,0,0x0028,28,0,0
12,11,10,9,8,7,00,00,0,0,0,0,0x002c,0,8,429
13,12,11,10,9,8,00,00,0,0,0,0,0x0030,459,21,270
14,13,12,11,10,9,00,00,0,0,0,0,0x0034,833,0,0
15,14,13,12,11,10,00,00,0,0,0,0,0x0038,0,9,459
16,15,14,13,12,11,00,00,0,0,0,0,0x003c,729,12,833
17,16,15,14,13,12,00,00,0,0,0,0,0x0040,0,0,0
18,17,16,15,14,13,00,00,0,0,0,0,0x0044,0,19,729
19,18,17,16,15,14,00,00,0,0,0,0,0x0048,728,0,0
20,19,18,17,16,15,00,00,0,0,0,0,0x004c,0,0,0
21,20,19,18,17,16,00,00,0,0,0,0,0x0050,0,6,728
22,21,20,19,18,17,00,00,0,0,0,0,0x0054,269,0,0
23,22,21,20,19,18,00,00,0,0,0,0,0x0058,0,0,0
24,23,22,21,20,19,00,00,0,0,0,0,0x005c,0,11,269
25,24,23,22,21,20,00,00,0,0,0,0,0x0060,8,0,0
26,25,24,23,22,21,00,00,0,0,0,0,0x0064,0,0,0
27,26,25,24,23,22,00,00,0,0,0,0,0x0068,0,23,8
28,27,26,25,24,23,00,00,0,0,0,0,0x006c,8,0,0
29,28,27,26,25,24,00,00,0,0,0,0,0x0070,0,0,0
30,29,28,27,26,25,00,00,0,0,0,0,0x0074,0,13,8
31,30,29,28,27,26,00,00,0,0,0,0,0x0078,1,0,0
32,31,30,29,28,27,00,00,0,0,0,0,0x007c,0,0,0
33,32,31,30,29,28,00,00,0,0,0,0,0x0080,0,10,1
34,33,32,31,30,29,00,00,0,0,0,0,0x0084,0,0,0
35,34,33,32,31,30,00,00,0,0,0,0,0x0088,833,0,0
36,35,34,33,32,31,00,00,0,0,0,0,0x008c,0,0,0
37,36,35,34,33,32,00,00,0,0,0,0,0x0090,0,13,833
38,37,36,35,34,33,00,00,0,0,0,0,0x0094,32,0,0
39,38,37,36,35,34,00,00,0,0,0,0,0x0098,849,0,0
40,39,38,37,36,35,00,00,0,0,0,0,0x009c,0,0,0
41,40,39,38,37,36,00,00,0,0,0,0,0x00a0,0,8,849
42,41,40,39,38,37,00,00,0,0,0,0,0x00a4,1682,0,0
43,42,41,40,39,38,00,00,0,0,0,0,0x00a8,0,0,0
44,-,42,41,40,39,00,00,0,0,0,0,0xffff,0,9,1682
45,-,-,42,41,40,00,00,0,0,0,0,0xffff,36,0,0
46,-,-,-,42,41,00,00,0,0,0,0,0xffff,0,0,0
47,-,-,-,-,42,00,00,0,0,0,0,0xffff,0,0,0
