cycle,IF,ID,EX,MEM,WB,ForwardA,ForwardB,ForwardC,ForwardD,Stall,Flush,PC_IF,ALU_EX,WB_reg,WB_value
1,0,-,-,-,-,00,00,0,0,0,0,0x0000,0,0,0
2,1,0,-,-,-,00,00,0,0,0,0,0x0004,0,0,0
3,2,1,0,-,-,00,00,0,0,0,0,0x0008,20,0,0
4,3,2,1,0,-,10,00,0,0,0,0,0x000c,20,0,0
5,-,3,2,1,0,01,00,0,0,1,0,0x000c,24,17,20
6,4,3,-,2,1,00,00,0,0,0,0,0x0010,0,15,196
7,5,4,3,-,2,00,01,0,0,0,0,0x0014,429,22,233
8,6,5,4,3,-,00,00,0,0,0,0,0x0018,28,0,0
9,7,6,5,4,3,01,00,0,0,0,0,0x001c,459,8,429
10,8,7,6,5,4,00,00,0,0,0,0,0x0020,833,21,270
11,9,8,7,6,5,01,00,0,0,0,0,0x0024,729,9,459
12,10,9,8,7,6,10,00,0,0,0,0,0x0028,728,12,833
13,11,10,9,8,7,10,00,0,0,0,0,0x002c,269,19,729
14,12,11,10,9,8,10,01,0,0,0,0,0x0030,8,6,728
15,13,12,11,10,9,10,00,0,0,0,0,0x0034,8,11,269
16,-,13,12,11,10,10,00,0,0,1,0,0x0034,1,23,8
17,14,13,-,12,11,00,00,1,0,0,0,0x0038,0,13,8
18,15,14,13,-,12,01,00,0,0,0,0,0x003c,0,10,1
19,16,15,14,13,-,00,00,0,0,0,0,0x0040,833,0,0
20,17,16,15,14,13,00,10,0,0,0,0,0x0044,32,0,0
21,18,17,16,15,14,01,00,0,0,0,0,0x0048,849,13,833
22,-,18,17,16,15,10,00,0,0,0,0,0xffff,1682,0,0
23,-,-,18,17,16,00,10,0,0,0,0,0xffff,36,8,849
24,-,-,-,18,17,00,00,0,0,0,0,0xffff,0,9,1682
25,-,-,-,-,18,00,00,0,0,0,0,0xffff,0,0,0
