cycle,IF,ID,EX,MEM,WB,ForwardA,ForwardB,ForwardC,ForwardD,Stall,Flush,note
1,0,-,bub,bub,bub,00,00,0,0,0,0,""
2,-1,0,bub,bub,bub,00,00,0,0,0,0,""
3,-1,-1,0,bub,bub,00,00,0,0,0,0,""
4,1,-1,-1,0,bub,00,00,0,0,0,0,""
5,2,1,-1,-1,0,00,00,0,0,0,0,""
6,-1,2,1,-1,-1,00,00,0,0,0,0,""
7,-1,-1,2,1,-1,00,00,0,0,0,0,""
8,3,-1,-1,2,1,00,00,0,0,0,0,""
9,4,3,-1,-1,2,00,00,0,0,0,0,""
10,-1,4,3,-1,-1,00,00,0,0,0,0,""
11,5,-1,4,3,-1,00,00,0,0,0,0,""
12,6,5,-1,4,3,00,00,0,0,0,0,""
13,-1,6,5,-1,4,00,00,0,0,0,0,""
14,7,-1,6,5,-1,00,00,0,0,0,0,""
15,-1,7,-1,6,5,00,00,0,0,0,0,""
16,-1,-1,7,-1,6,00,00,0,0,0,0,""
17,8,-1,-1,7,-1,00,00,0,0,0,0,""
18,-1,8,-1,-1,7,00,00,0,0,0,0,""
19,-1,-1,8,-1,-1,00,00,0,0,0,0,""
20,9,-1,-1,8,-1,00,00,0,0,0,0,""
21,-1,9,-1,-1,8,00,00,0,0,0,0,""
22,-1,-1,9,-1,-1,00,00,0,0,0,0,""
23,10,-1,-1,9,-1,00,00,0,0,0,0,""
24,-1,10,-1,-1,9,00,00,0,0,0,0,""
25,-1,-1,10,-1,-1,00,00,0,0,0,0,""
26,11,-1,-1,10,-1,00,00,0,0,0,0,""
27,-1,11,-1,-1,10,00,00,0,0,0,0,""
28,-1,-1,11,-1,-1,00,00,0,0,0,0,""
29,12,-1,-1,11,-1,00,00,0,0,0,0,""
30,-1,12,-1,-1,11,00,00,0,0,0,0,""
31,-1,-1,12,-1,-1,00,00,0,0,0,0,""
32,13,-1,-1,12,-1,00,00,0,0,0,0,""
33,14,13,-1,-1,12,00,00,0,0,0,0,""
34,-1,14,13,-1,-1,00,00,0,0,0,0,""
35,-1,-1,14,13,-1,00,00,0,0,0,0,""
36,15,-1,-1,14,13,00,00,0,0,0,0,""
37,16,15,-1,-1,14,00,00,0,0,0,0,""
38,-1,16,15,-1,-1,00,00,0,0,0,0,""
39,-1,-1,16,15,-1,00,00,0,0,0,0,""
40,17,-1,-1,16,15,00,00,0,0,0,0,""
41,-1,17,-1,-1,16,00,00,0,0,0,0,""
42,-1,-1,17,-1,-1,00,00,0,0,0,0,""
43,18,-1,-1,17,-1,00,00,0,0,0,0,""
44,-,18,-1,-1,17,00,00,0,0,0,0,""
45,-,-,18,-1,-1,00,00,0,0,0,0,""
46,-,-,bub,18,-1,00,00,0,0,0,0,""
47,-,-,bub,bub,18,00,00,0,0,0,0,""
