cycle,PC,IF,ID,EX,MEM,WB,ForwardA,ForwardB,ForwardC,ForwardD,Stall,Flush,ALU_EX,RegWrite_WB,WriteReg,WriteData,note
1,0,0,-,bub,bub,bub,00,00,0,0,0,0,-,-,-,-,""
2,1,1,0,bub,bub,bub,00,00,0,0,0,0,-,-,-,-,""
3,2,2,1,0,bub,bub,00,00,0,0,0,0,20,-,-,-,""
4,3,3,2,1,0,bub,10,00,0,0,0,0,20,-,-,-,""
5,4,-,3,2,1,0,01,00,0,0,1,0,24,1,17,20,"LOAD-USE stall: instr 3 needs R22 from LW at instr 2"
6,4,4,3,bub,2,1,00,00,0,0,0,0,-,1,15,196,""
7,5,5,4,3,bub,2,00,01,0,0,0,0,429,1,22,233,""
8,6,6,5,4,3,bub,00,00,0,0,0,0,28,-,-,-,""
9,7,7,6,5,4,3,01,00,0,0,0,0,459,1,8,429,""
10,8,8,7,6,5,4,00,00,0,0,0,0,833,1,21,270,""
11,9,9,8,7,6,5,01,00,0,0,0,0,729,1,9,459,""
12,10,10,9,8,7,6,10,00,0,0,0,0,728,1,12,833,""
13,11,11,10,9,8,7,10,00,0,0,0,0,269,1,19,729,""
14,12,12,11,10,9,8,10,01,0,0,0,0,8,1,6,728,""
15,13,13,12,11,10,9,10,00,0,0,0,0,8,1,11,269,""
16,14,-,13,12,11,10,10,00,0,0,1,0,1,1,23,8,"BRANCH stall: instr 12 in EX still producing R10"
17,14,14,13,bub,12,11,00,00,1,0,0,0,-,1,13,8,""
18,15,15,14,13,bub,12,01,00,0,0,0,0,0,1,10,1,""
19,16,16,15,14,13,bub,00,00,0,0,0,0,833,-,-,-,""
20,17,17,16,15,14,13,00,10,0,0,0,0,32,0,0,0,""
21,18,18,17,16,15,14,01,00,0,0,0,0,849,1,13,833,""
22,19,-,18,17,16,15,10,00,0,0,0,0,1682,0,0,32,""
23,19,-,-,18,17,16,00,10,0,0,0,0,36,1,8,849,""
24,19,-,-,bub,18,17,00,00,0,0,0,0,-,1,9,1682,""
25,19,-,-,bub,bub,18,00,00,0,0,0,0,-,0,0,36,""
