cycle |        IF         |        ID         |        EX         |        MEM        |        WB         | Forward   | control   |
------+-------------------+-------------------+-------------------+-------------------+-------------------+-----------+-----------+
    1 | ADDI R17,R0,20    | --                | --                | --                | --                | A=0 B=0 | -         | -    
    2 | NOP               | ADDI R17,R0,20    | --                | --                | --                | A=0 B=0 | -         | -    
    3 | NOP               | NOP               | ADDI R17,R0,20    | --                | --                | A=0 B=0 | -         | -    
    4 | LW   R15,0(R17)   | NOP               | NOP               | ADDI R17,R0,20    | --                | A=0 B=0 | -         | -    
    5 | LW   R22,4(R17)   | LW   R15,0(R17)   | NOP               | NOP               | ADDI R17,R0,20    | A=0 B=0 | -         | -    
    6 | NOP               | LW   R22,4(R17)   | LW   R15,0(R17)   | NOP               | NOP               | A=0 B=0 | -         | -    
    7 | NOP               | NOP               | LW   R22,4(R17)   | LW   R15,0(R17)   | NOP               | A=0 B=0 | -         | -    
    8 | ADD  R8,R15,R22   | NOP               | NOP               | LW   R22,4(R17)   | LW   R15,0(R17)   | A=0 B=0 | -         | -    
    9 | LW   R21,8(R17)   | ADD  R8,R15,R22   | NOP               | NOP               | LW   R22,4(R17)   | A=0 B=0 | -         | -    
   10 | NOP               | LW   R21,8(R17)   | ADD  R8,R15,R22   | NOP               | NOP               | A=0 B=0 | -         | -    
   11 | ADDI R9,R8,30     | NOP               | LW   R21,8(R17)   | ADD  R8,R15,R22   | NOP               | A=0 B=0 | -         | -    
   12 | ADDI R12,R0,833   | ADDI R9,R8,30     | NOP               | LW   R21,8(R17)   | ADD  R8,R15,R22   | A=0 B=0 | -         | -    
   13 | NOP               | ADDI R12,R0,833   | ADDI R9,R8,30     | NOP               | LW   R21,8(R17)   | A=0 B=0 | -         | -    
   14 | ADD  R19,R9,R21   | NOP               | ADDI R12,R0,833   | ADDI R9,R8,30     | NOP               | A=0 B=0 | -         | -    
   15 | NOP               | ADD  R19,R9,R21   | NOP               | ADDI R12,R0,833   | ADDI R9,R8,30     | A=0 B=0 | -         | -    
   16 | NOP               | NOP               | ADD  R19,R9,R21   | NOP               | ADDI R12,R0,833   | A=0 B=0 | -         | -    
   17 | ADDI R6,R19,-1    | NOP               | NOP               | ADD  R19,R9,R21   | NOP               | A=0 B=0 | -         | -    
   18 | NOP               | ADDI R6,R19,-1    | NOP               | NOP               | ADD  R19,R9,R21   | A=0 B=0 | -         | -    
   19 | NOP               | NOP               | ADDI R6,R19,-1    | NOP               | NOP               | A=0 B=0 | -         | -    
   20 | SUB  R11,R6,R9    | NOP               | NOP               | ADDI R6,R19,-1    | NOP               | A=0 B=0 | -         | -    
   21 | NOP               | SUB  R11,R6,R9    | NOP               | NOP               | ADDI R6,R19,-1    | A=0 B=0 | -         | -    
   22 | NOP               | NOP               | SUB  R11,R6,R9    | NOP               | NOP               | A=0 B=0 | -         | -    
   23 | AND  R23,R11,R6   | NOP               | NOP               | SUB  R11,R6,R9    | NOP               | A=0 B=0 | -         | -    
   24 | NOP               | AND  R23,R11,R6   | NOP               | NOP               | SUB  R11,R6,R9    | A=0 B=0 | -         | -    
   25 | NOP               | NOP               | AND  R23,R11,R6   | NOP               | NOP               | A=0 B=0 | -         | -    
   26 | ADDI R13,R23,0    | NOP               | NOP               | AND  R23,R11,R6   | NOP               | A=0 B=0 | -         | -    
   27 | NOP               | ADDI R13,R23,0    | NOP               | NOP               | AND  R23,R11,R6   | A=0 B=0 | -         | -    
   28 | NOP               | NOP               | ADDI R13,R23,0    | NOP               | NOP               | A=0 B=0 | -         | -    
   29 | SLT  R10,R13,R12  | NOP               | NOP               | ADDI R13,R23,0    | NOP               | A=0 B=0 | -         | -    
   30 | NOP               | SLT  R10,R13,R12  | NOP               | NOP               | ADDI R13,R23,0    | A=0 B=0 | -         | -    
   31 | NOP               | NOP               | SLT  R10,R13,R12  | NOP               | NOP               | A=0 B=0 | -         | -    
   32 | BEQ  R10,R0,3     | NOP               | NOP               | SLT  R10,R13,R12  | NOP               | A=0 B=0 | -         | -    
   33 | ADDI R13,R12,0    | BEQ  R10,R0,3     | NOP               | NOP               | SLT  R10,R13,R12  | A=0 B=0 | -         | -    
   34 | NOP               | ADDI R13,R12,0    | BEQ  R10,R0,3     | NOP               | NOP               | A=0 B=0 | -         | -    
   35 | NOP               | NOP               | ADDI R13,R12,0    | BEQ  R10,R0,3     | NOP               | A=0 B=0 | -         | -    
   36 | SW   R13,12(R17)  | NOP               | NOP               | ADDI R13,R12,0    | BEQ  R10,R0,3     | A=0 B=0 | -         | -    
   37 | ADDI R8,R13,16    | SW   R13,12(R17)  | NOP               | NOP               | ADDI R13,R12,0    | A=0 B=0 | -         | -    
   38 | NOP               | ADDI R8,R13,16    | SW   R13,12(R17)  | NOP               | NOP               | A=0 B=0 | -         | -    
   39 | NOP               | NOP               | ADDI R8,R13,16    | SW   R13,12(R17)  | NOP               | A=0 B=0 | -         | -    
   40 | ADD  R9,R8,R13    | NOP               | NOP               | ADDI R8,R13,16    | SW   R13,12(R17)  | A=0 B=0 | -         | -    
   41 | NOP               | ADD  R9,R8,R13    | NOP               | NOP               | ADDI R8,R13,16    | A=0 B=0 | -         | -    
   42 | NOP               | NOP               | ADD  R9,R8,R13    | NOP               | NOP               | A=0 B=0 | -         | -    
   43 | SW   R9,16(R17)   | NOP               | NOP               | ADD  R9,R8,R13    | NOP               | A=0 B=0 | -         | -    
   44 | --                | SW   R9,16(R17)   | NOP               | NOP               | ADD  R9,R8,R13    | A=0 B=0 | -         | -    
   45 | --                | --                | SW   R9,16(R17)   | NOP               | NOP               | A=0 B=0 | -         | -    
   46 | --                | --                | --                | SW   R9,16(R17)   | NOP               | A=0 B=0 | -         | -    
   47 | --                | --                | --                | --                | SW   R9,16(R17)   | A=0 B=0 | -         | -    
