cycle,EXMEM_Rd,EXMEM_RegWrite,EXMEM_MemRead,MEMWB_Rd,MEMWB_RegWrite,IDEX_Rs,IDEX_Rt,IDEX_MemRead,IDEX_RegWrite,IDEX_Rd,IFID_Rs,IFID_Rt,IFID_UsesRs,IFID_UsesRt,IsBranch,exp_ForwardA_bit1,exp_ForwardA_bit0,exp_ForwardB_bit1,exp_ForwardB_bit0,exp_Stall,exp_BranchStall,exp_ForwardCD
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,17,0,1,17,17,15,1,0,0,0,0,0,0,0,0,0
4,17,1,0,0,0,17,15,1,1,15,17,22,1,0,0,1,0,0,0,0,0,0
5,15,1,1,17,1,17,22,1,1,22,15,22,1,1,0,0,1,0,0,1,0,0
6,22,1,1,15,1,0,0,0,0,0,15,22,1,1,0,0,0,0,0,0,0,0
7,0,0,0,22,1,15,22,0,1,8,17,21,1,0,0,0,0,0,1,0,0,0
8,8,1,0,0,0,17,21,1,1,21,8,9,1,0,0,0,0,0,0,0,0,0
9,21,1,1,8,1,8,9,0,1,9,0,12,1,0,0,0,1,0,0,0,0,0
10,9,1,0,21,1,0,12,0,1,12,9,21,1,1,0,0,0,0,0,0,0,0
11,12,1,0,9,1,9,21,0,1,19,19,6,1,0,0,0,1,0,0,0,0,0
12,19,1,0,12,1,19,6,0,1,6,6,9,1,1,0,1,0,0,0,0,0,0
13,6,1,0,19,1,6,9,0,1,11,11,6,1,1,0,1,0,0,0,0,0,0
14,11,1,0,6,1,11,6,0,1,23,23,13,1,0,0,1,0,0,1,0,0,0
15,23,1,0,11,1,23,13,0,1,13,13,12,1,1,0,1,0,0,0,0,0,0
16,13,1,0,23,1,13,12,0,1,10,10,0,1,1,1,1,0,0,0,0,1,0
17,10,1,0,13,1,0,0,0,0,0,10,0,1,1,1,0,0,0,0,0,0,1
18,0,0,0,10,1,10,0,0,0,0,12,13,1,0,0,0,1,0,0,0,0,0
19,0,0,0,0,0,12,13,0,1,13,17,13,1,1,0,0,0,0,0,0,0,0
20,13,1,0,0,0,17,13,0,0,0,13,8,1,0,0,0,0,1,0,0,0,0
21,0,0,0,13,1,13,8,0,1,8,8,13,1,1,0,0,1,0,0,0,0,0
22,8,1,0,0,0,8,13,0,1,9,17,9,1,1,0,1,0,0,0,0,0,0
23,9,1,0,8,1,17,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
